"Event Category","Event Action","Event Label","Total Events","Users","Event Value","Time on Page","Time on Screen"
"Terms Board -- GOLD_30","lc-reading -- myfembree-approved-for-heavy-menstrual-bleeding-associated-with-uterine-fibroids","text -- pfizer -- --",16,1,16,"00:00:00","00:00:00"
"Terms Board -- GOLD_11","termsboard-tems-display -- whatActionBox -- old_to_new","viz -- astrazeneca",15,1,15,"00:00:00","00:00:00"
"Terms Board -- GOLD_12","termsboard-tems-display -- whereBox -- consistent","viz -- astrazeneca",15,1,15,"00:00:00","00:00:00"
"Terms Board -- GOLD_3","termsboard-tems-display -- whatTopicBox -- old_to_new","viz -- astrazeneca",15,1,15,"00:00:00","00:00:00"
"Terms Board -- GOLD_24","termsboard-tems-display -- whyNegativeBox -- consistent","viz -- astrazeneca",14,1,14,"00:00:00","00:00:00"
"Terms Board -- GOLD_3","termsboard-tems-display -- whyPositiveBox -- consistent","viz -- astrazeneca",14,1,14,"00:00:00","00:00:00"
"Terms Board -- GOLD_4","termsboard-tems-display -- whereBox -- consistent","viz -- astrazeneca",14,1,14,"00:00:00","00:00:00"
"Terms Board -- GOLD_30","lc-reading -- uk-study-shows-robust-vaccine-effectiveness-against-indian-strain","text -- pfizer -- --",13,1,13,"00:00:00","00:00:00"
"Terms Board -- GOLD_20","termsboard-tems-display -- whereBox -- consistent","viz -- astrazeneca",12,1,12,"00:00:00","00:00:00"
"Terms Board -- GOLD_3","termsboard-tems-display -- whereBox -- old_to_new","viz -- astrazeneca",12,1,12,"00:00:00","00:00:00"
"Terms Board -- GOLD_30","lc-reading -- pfizer-biontech-covid-19-vaccine-shelf-life-extended-to-31-days","text -- pfizer -- --",12,1,12,"00:00:00","00:00:00"
"Terms Board -- GOLD_16","lc-reading -- myfembree-approved-for-heavy-menstrual-bleeding-associated-with-uterine-fibroids","text -- pfizer -- --",11,1,11,"00:00:00","00:00:00"
"Terms Board -- GOLD_2","lc-reading -- us-cdc-recommends-use-of-pfizer-biontech-jab-in-adolescents","text -- pfizer -- --",11,1,11,"00:00:00","00:00:00"
"Terms Board -- GOLD_11","termsboard-tems-display -- whatActionBox -- consistent","viz -- astrazeneca",10,1,10,"00:00:00","00:00:00"
"Terms Board -- GOLD_14","termsboard-tems-display -- whereBox -- old_to_new","viz -- astrazeneca",10,1,10,"00:00:00","00:00:00"
"Terms Board -- GOLD_2","termsboard-document-link-click","text -- pfizer",10,1,0,"00:00:00","00:00:00"
"Terms Board -- GOLD_3","termsboard-tems-display -- whyNegativeBox -- old_to_new","viz -- astrazeneca",10,1,10,"00:00:00","00:00:00"
"Terms Board -- GOLD_30","text -- pfizer -- pfizer-takes-aim-at-coronavirus-and-vaccines-market -- mouseover"," --",10,1,10,"00:00:00","00:00:00"
"Terms Board -- GOLD_11","termsboard-related-document-display -- whoBox -- consistent","viz -- astrazeneca",9,1,9,"00:00:00","00:00:00"
"Terms Board -- GOLD_24","termsboard-tems-display -- whyPositiveBox -- new_to_old","viz -- astrazeneca",9,1,9,"00:00:00","00:00:00"
"Terms Board -- GOLD_28","text -- pfizer -- latest-pfizer-biontech-results-offer-youthful-optimism -- mouseover"," --",9,1,9,"00:00:00","00:00:00"
"Terms Board -- GOLD_24","lc-reading -- full-program-for-astrazeneca-at-asco-2021","viz -- astrazeneca -- whatTopicBox -- consistent",8,1,8,"00:00:00","00:00:00"
"Terms Board -- GOLD_24","termsboard-tems-display -- whyPositiveBox -- consistent","viz -- astrazeneca",8,1,8,"00:00:00","00:00:00"
"Terms Board -- GOLD_2","lc-reading -- eu-sues-vaccine-developer-while-usa-donates-excess-supplies","viz -- astrazeneca -- whoBox -- consistent",7,1,7,"00:00:00","00:00:00"
"Terms Board -- GOLD_2","termsboard-tems-display -- whereBox -- consistent","viz -- astrazeneca",7,1,7,"00:00:00","00:00:00"
"Terms Board -- GOLD_2","termsboard-tems-display -- whyPositiveBox -- consistent","viz -- astrazeneca",7,1,7,"00:00:00","00:00:00"
"Terms Board -- GOLD_24","termsboard-related-document-display -- whoBox -- consistent","viz -- astrazeneca",7,1,7,"00:00:00","00:00:00"
"Terms Board -- GOLD_24","text -- pfizer -- uk-study-shows-robust-vaccine-effectiveness-against-indian-strain -- mouseover"," --",7,1,7,"00:00:00","00:00:00"
"Terms Board -- GOLD_30","lc-reading -- pfizer-takes-aim-at-coronavirus-and-vaccines-market","text -- pfizer -- --",7,1,7,"00:00:00","00:00:00"
"Terms Board -- GOLD_16","text -- pfizer -- uk-study-shows-robust-vaccine-effectiveness-against-indian-strain -- mouseover"," --",6,1,6,"00:00:00","00:00:00"
"Terms Board -- GOLD_24","termsboard-related-document-display -- whatTopicBox -- consistent","viz -- astrazeneca",6,1,6,"00:00:00","00:00:00"
"Terms Board -- GOLD_24","termsboard-related-document-display -- whereBox -- old_to_new","viz -- astrazeneca",6,1,6,"00:00:00","00:00:00"
"Terms Board -- GOLD_24","termsboard-related-document-display -- whyPositiveBox -- consistent","viz -- astrazeneca",6,1,6,"00:00:00","00:00:00"
"Terms Board -- GOLD_24","termsboard-tems-display -- whatActionBox -- old_to_new","viz -- astrazeneca",6,1,6,"00:00:00","00:00:00"
"Terms Board -- GOLD_28","termsboard-document-link-click","text -- pfizer",6,1,0,"00:00:00","00:00:00"
"Terms Board -- GOLD_28","text -- pfizer -- trial-in-children-could-help-increase-vaccine-coverage -- mouseover"," --",6,1,6,"00:00:00","00:00:00"
"Terms Board -- GOLD_4","termsboard-tems-display -- whatActionBox -- old_to_new","viz -- astrazeneca",6,1,6,"00:00:00","00:00:00"
"Terms Board -- GOLD_12","termsboard-tems-display -- whatTopicBox -- old_to_new","viz -- astrazeneca",5,1,5,"00:00:00","00:00:00"
"Terms Board -- GOLD_2","lc-reading -- march-april-2021-pharmaceutical-m-a-round-up","text -- pfizer -- --",5,1,5,"00:00:00","00:00:00"
"Terms Board -- GOLD_24","lc-reading -- eu-sues-vaccine-developer-while-usa-donates-excess-supplies","viz -- astrazeneca -- whatActionBox -- consistent",5,1,5,"00:00:00","00:00:00"
"Terms Board -- GOLD_3","termsboard-tems-display -- whyNegativeBox -- new_to_old","viz -- astrazeneca",5,1,5,"00:00:00","00:00:00"
"Terms Board -- GOLD_4","termsboard-document-link-click","text -- pfizer",5,1,0,"00:00:00","00:00:00"
"Terms Board -- GOLD_9","termsboard-tems-display -- whereBox -- new_to_old","viz -- astrazeneca",5,1,5,"00:00:00","00:00:00"
"Terms Board -- GOLD_11","termsboard-related-document-display -- whatActionBox -- consistent","viz -- astrazeneca",4,1,4,"00:00:00","00:00:00"
"Terms Board -- GOLD_11","termsboard-related-document-display -- whereBox -- consistent","viz -- astrazeneca",4,1,4,"00:00:00","00:00:00"
